,Content,Tag,Question,Right_Ans,Wrong_Ans
,"Face the speaker and maintain eye contact.
Talking to someone while they scan the room, study a computer screen, or gaze out the window is like trying to hit a moving target. How much of the person's divided attention you are actually getting? Fifty percent? Five percent? If the person were your child you might demand, ""Look at me when I'm talking to you,"" ",#Listening,Why is it important not to engage in other activities while listening,Makes the other person feel unimportant,"Doesnt matter, you may drop your phone, do it"
," Be attentive, but relaxed.
Now that you've made eye contact, relax. You don't have to stare fixedly at the other person. You can look away now and then and carry on like a normal person. The important thing is to be attentive. The dictionary says that to ""attend"" another person means to:

be present
give attention
apply or direct yourself
pay attention
remain ready to serve",#Listening,How do you maintain eye contact,"Short well focussed period , look around in between eye contacts","Stare deep into the eye, Quick glance, Dont look"
,"Keep an open mind.
Listen without judging the other person or mentally criticizing the things she tells you. If what she says alarms you, go ahead and feel alarmed, but don't say to yourself, ""Well, that was a stupid move."" As soon as you indulge in judgmental bemusements, you've compromised your effectiveness as a listener.",#Listening,Is it important to be genuinely interested in what others have to say,"Yes, keeping an open mind helps you look at things from their point of view","No make up your mind about a person before hand, It does not matter"
,"Listen to the words and try to picture what the speaker is saying.
Allow your mind to create a mental model of the information being communicated. Whether a literal picture, or an arrangement of abstract concepts, your brain will do the necessary work if you stay focused, with senses fully alert. When listening for long stretches, concentrate on, and remember, key words and phrases.",#Listening,How does creating a visual or mental model help a conversation,It helps make sense of what someone is saying,"Does not help, its amusing, Not sure"
,"Don't interrupt and don't impose your ""solutions.""
Children used to be taught that it's rude to interrupt. I'm not sure that message is getting across anymore. Certainly the opposite is being modeled on the majority of talk shows and reality programs, where loud, aggressive, in-your-face behavior is condoned, if not encouraged.",#Listening,Why would you not interrupt when you have some thing to say,When someone has completed talking they are more willing to listen,"It is ok to interrupt, It help fill a conversation"
,"Wait for the speaker to pause to ask clarifying questions.
When you don't understand something, of course you should ask the speaker to explain it to you. But rather than interrupt, wait until the speaker pauses. Then say something like, ""Back up a second. I didn't understand what you just said about…""",#Listening,When is it ok to stop and ask for clarifications,Wait for a pause,"Just stop the other person and ask, Anytime"
,"Ask questions only to ensure understanding.
At lunch, a colleague is excitedly telling you about her trip to Vermont and all the wonderful things she did and saw. In the course of this chronicle, she mentions that she spent some time with a mutual friend. You jump in with, ""Oh, I haven't heard from Alice in ages. How is she?"" and, just like that, discussion shifts to Alice and her divorce, and the poor kids, which leads to a comparison of custody laws, and before you know it an hour is gone and Vermont is a distant memory.",#Listening,Why is it not ok to just ask any question,It derails the main conversation and you lose time,"Its ok, Just ask as many questions you can"
,"Try to feel what the speaker is feeling.
If you feel sad when the person with whom you are talking expresses sadness, joyful when she expresses joy, fearful when she describes her fears—and convey those feelings through your facial expressions and words—then your effectiveness as a listener is assured. Empathy is the heart and soul of good listening.",#Listening,How does it matter how you feel,People can catch your feels through subtle ques,"People cant feel it, They see you cry, I dont know"
,"Give the speaker regular feedback.
Show that you understand where the speaker is coming from by reflecting the speaker's feelings. ""You must be thrilled!"" ""What a terrible ordeal for you."" ""I can see that you are confused."" If the speaker's feelings are hidden or unclear, then occasionally paraphrase the content of the message. Or just nod and show your understanding through appropriate facial expressions and an occasional well-timed ""hmmm"" or ""uh huh.""",#Listening,Should you give a positive or negate feedback all the time,No Just when relevant,"Yes, Always, MayBe"
,Research your audience. Knowing the needs of your audience can help you tailor your presentation to target their interests and explain how your company can be of use in their specific situation. ,#Presentation_Skills                ,What if I dont research my Audience,I wont know what they already know about the subject,"Doesnt matter, "
,"Structuring your presentation. 'The classic format is to tell them what you're going to say, present, and then tell them what you told them,'",#Presentation_Skills                ,Does the classic format help always,No – use it when right,Yes every time
,"Opening - Your opening should be something that makes an emotional connection with the audience.  It can be a story, a question, or a shocking static. It should not be an introduction of yourself or five minutes of thank-yous. David Parnell, the founder of an attorney placement firm who recently finished an 850-page book on the psychology of effective communication, suggests that any stories you use should represent your audience's position in life and should use characters that are analogous to your audience.",#Presentation_Skills                ,How does a story help a presentation,A story engages the audience and helps them better understand the point you make,"It does not, Its helps use the time you have, Amuses people"
,"Body - Try to stick to your three most important points. It's more important to engage the audience than to tell them everything you know. You will need to leave some information out, but it is likely that what you don't cover in the presentation will come up when you take questions. Keep your outcome in mind. You don't have to write out your presentation word for word (or worse, memorize it) if you just remember to keep going back to your main points and working toward your desired outcome. Be prepared to present both sides of an issue. ",#Presentation_Skills                ,How many points do you want to make in your presentation,A few – 3 use a good number,"As many as you like, 8-10, 1 point , Does not matter"
,Closing - The closing of your presentation is the last opportunity you have to give your audience something that will stick in their minds. You can go back to your opening or end on a clever slogan or a call to action. ,#Presentation_Skills                ,How does it matter how you close your presentation,It helps you define what people take away from it,"It does not matter, Helps you bid farwell, Not sure"
,"Practice, practice, practice…but don't memorize. 'It's different for everybody, but I will say one thing: If you practice your speech only once, you're going to stink,' Braithwaite says. She recommends starting to rehearse your presentation about a month in advance. You can talk into a mirror, talk to a wall, or ask a family member to listen. ",#Presentation_Skills                ,Why should you not try to memorize,Lots of things change during the actual presentation you cant control,"It actually helps to memorize, Not sure"
,"Rehearsing does not mean memorization - Memorizing your speech can make you sound mechanical and over-rehearsed. 'Really the only people who are good at memorizing things are actors,' Braithwaite says. 'if you're going to do it well, you actually have to act it out and play a character, and most speakers aren't very good at that.' Even if you are good at acting, Parnell suggests that you don't memorize your speech to perfection.",#Presentation_Skills                ,Is it ok to rehearse a presentation ,"Yes, repetition helps you get confident","No , Maybe"
,"  Videotape yourself - You can't know how you come off to people until you see it. Recording yourself is the best way to target the areas where you can improve.
",#Presentation_Skills                ,Why should I record myself,I can see what other see,"I can put it on youtube, I dont know Lets find out"
,"Calm your nerves - Aguilera suggests changing the word 'presentation' to 'conversation' when thinking about your big day. Feel better yet? If not, you can also quell panic by conditioning yourself to be in presentation-mode.  ",#Presentation_Skills                ,Whats the difference in thinking between presentation and a conversation,"A presentation thinking is one way from you to the audience, Conversation is two way","Its the same, Not sure"
,"  Stop working on it - 'You really need time to start getting into relaxation mode,' Braithwaite says. 'You can't be in your hyper rewriting, restructuring mode right up to your presentation.' Take a couple of days to relax before your speech",#Presentation_Skills                ,Why is it important to stop working on the presentation before you are delivering it,It helps calm your nerves and be relaxed,"It does not help, Not sure"
,"Storytelling is the art of taking a story,  your story or another’s and retelling that story.  ",#Storytelling                       ,Is story telling about your own stories,No,"Yes, Not sure"
,"Telling your story is not like writing an essay as you were taught in school. Don’t mention what is to be said, then say it, then recap. With the traditional method of setting out the content of what is to be mentioned the story is over before you’ve started, there is no drama, you know how it is going to end. ",#Storytelling                       ,What is the big difference between a story and a presentation,You dont tell the outcome upfront,"Its the same, Not sure"
,"Instead create an anecdote that builds the story, event by event as it happened.  Ideally a great story will have a variation on these elements:

Beginning – sets the stage
Body – starts and builds the story
Sequence of events – helps to create a story
Bait – Constantly raising questions(where is this going?) and answering them in a reflective way
Climax – story builds to a high point
Resolution – the punch line results in the reflection on the story",#Storytelling                       ,Does it help to think about a structure to a story,"Yes, It helps improve the success the ods of the story helping you communicate","It does not, Just make it fun"
